latitude,longitude
45.6343533,-122.5315233
45.6345017,-122.53146
45.63443,-122.5314667
45.6342883,-122.5316183
45.6343667,-122.5315117
45.6343617,-122.5315317
45.63447,-122.531495
45.6343417,-122.5315117
45.634345,-122.5315517
45.63436,-122.531525
45.634335,-122.5315517
45.634335,-122.5315183
45.6345233,-122.5313967
45.6343317,-122.531545
45.634355,-122.531515
45.63439,-122.53148
45.6344467,-122.53146
45.634375,-122.5315133
45.634455,-122.5314783
45.63442,-122.5315133
45.634345,-122.5315483
45.634375,-122.5315217
45.63434,-122.5315483
45.6343983,-122.5314933
45.6344583,-122.5314567
45.6343767,-122.531525
45.6344167,-122.5314933
45.634385,-122.5315283
45.6343533,-122.531515
45.6338367,-122.531895
45.6343533,-122.5315183
45.6344183,-122.531505
45.63437,-122.5315317
45.6343933,-122.5314983
45.634365,-122.5315317
45.6343433,-122.531535
45.6344267,-122.5314767
45.6343533,-122.5315033
45.63446,-122.5314933
45.6343567,-122.5315317
45.6344217,-122.5314767
45.634355,-122.5315067
45.63434,-122.5315267
45.6343233,-122.5315533
45.6344783,-122.5314617
45.6343767,-122.53151
45.634355,-122.5315383
45.6343417,-122.5315317
45.6343817,-122.53154
45.634345,-122.53151
45.634415,-122.5315017
45.634335,-122.5315567
45.6343783,-122.5315367
45.6343533,-122.5314983
45.634375,-122.53152
45.6343367,-122.5315483
45.63437,-122.53154
45.6343483,-122.5315333
45.63434,-122.5315517
45.634345,-122.5315133
45.63436,-122.53151
45.634345,-122.5314967
45.63438,-122.5315417
45.634505,-122.5314583
45.6343267,-122.53154
45.6344683,-122.5314967
45.63434,-122.5314983
45.6343833,-122.5314917
45.634415,-122.5314933
45.6344383,-122.5314633
45.63445,-122.5314483
45.6343667,-122.5315317
45.6343517,-122.531525
45.6343417,-122.53152
45.6344367,-122.5314933
45.6343767,-122.5314933
45.634395,-122.5314767
45.6343383,-122.53153
45.6343383,-122.531535
45.6342417,-122.5316217
45.6343517,-122.531535
45.6343417,-122.53155
45.634355,-122.5315167
45.6343467,-122.53154
45.6343517,-122.5315517
45.6343417,-122.5315467
45.6344233,-122.531505
45.6344033,-122.5314883
45.6344417,-122.5314967
45.6343333,-122.531565
45.6343833,-122.5315083
45.634475,-122.53144
45.6344633,-122.5314783
45.6343717,-122.53152
45.634485,-122.531465
45.634345,-122.5315133
45.6343383,-122.5315483
45.63436,-122.53153
45.6343583,-122.5315267
45.6343433,-122.5315183
45.6343817,-122.5314867
45.6343683,-122.5314883
45.6343817,-122.5314867
45.63436,-122.5315083
45.6344233,-122.5314917
45.6343617,-122.531515
45.634485,-122.531455
45.6343567,-122.5315433
45.634345,-122.5315467
45.6343383,-122.5315567
45.6343433,-122.5315983
45.63436,-122.531545
45.6343833,-122.53151
45.6343533,-122.53154
45.6344567,-122.5314867
45.6343817,-122.5315367
45.63436,-122.53153
45.63452,-122.5314283
45.634355,-122.5315483
45.63451,-122.5314333
45.6343483,-122.5315417
45.6343583,-122.531585
45.6343583,-122.5315333
45.63442,-122.5315217
45.6343533,-122.5315383
45.6343517,-122.5315633
45.6343783,-122.5315133
45.6343283,-122.5315717
45.6343967,-122.5315117
