latitude,longitude
45.531395,-122.656895
45.531475,-122.656795
45.5314433,-122.65679
45.53147,-122.65633
45.531425,-122.656815
45.5314083,-122.6567083
45.5314283,-122.65678
45.5313917,-122.6567933
45.5314017,-122.6568333
45.5314,-122.6567233
45.5314417,-122.6567867
45.53145,-122.6567283
45.5314333,-122.6568233
45.5314333,-122.6567217
45.5314383,-122.6567933
45.5315417,-122.6560333
45.5314,-122.6567683
45.53142,-122.65672
45.5314467,-122.6568367
45.5313967,-122.65677
45.5314033,-122.6568
45.5314167,-122.6567567
45.5314517,-122.6568133
45.5314333,-122.6568333
45.5314733,-122.65666
45.5314283,-122.656665
45.53145,-122.6567917
45.5314233,-122.6567967
45.5314117,-122.6568117
45.5314383,-122.6567517
45.5314767,-122.6567333
45.5314067,-122.656755
45.5314617,-122.6566683
45.5314417,-122.6567433
45.5314267,-122.6568017
45.5314317,-122.6568033
45.5314417,-122.6567567
45.531465,-122.656645
45.5314267,-122.656725
45.5314217,-122.6567617
45.53147,-122.6562867
45.531405,-122.656605
45.5314067,-122.6568433
45.5314333,-122.65675
45.53144,-122.6567433
45.5314433,-122.656685
45.53146,-122.6567067
45.531435,-122.656845
45.5314233,-122.656695
45.5313967,-122.6562583
45.5314433,-122.6566767
45.53145,-122.65671
45.5314267,-122.6567283
45.531415,-122.6568167
45.531565,-122.65683
45.53145,-122.65682
45.5314667,-122.656715
45.53142,-122.6568683
45.531445,-122.6567833
45.5314117,-122.6567
45.5314217,-122.656745
45.5314367,-122.6568533
45.531425,-122.6567867
45.5314217,-122.6568067
45.531425,-122.656785
45.5314283,-122.6568083
45.5314517,-122.6568433
45.5314617,-122.65665
45.5314383,-122.6567667
45.531435,-122.65684
45.5314467,-122.656705
45.5314383,-122.6567633
45.5314333,-122.65666
45.5314267,-122.6568033
45.531395,-122.656785
45.5314217,-122.6568283
45.53143,-122.6567583
45.5314033,-122.6567
45.5314383,-122.6567633
45.531395,-122.656785
45.5314267,-122.6568033
45.53143,-122.6567583
45.5314033,-122.6567
45.5314217,-122.6567733
45.5314217,-122.6568283
45.5314067,-122.656735
