latitude,longitude
45.6847467,-122.6607533
45.6852433,-122.6605933
45.684755,-122.6607717
45.684695,-122.6607567
45.6843017,-122.6608367
45.68461,-122.6608133
45.6852967,-122.6605983
45.6843967,-122.66081
45.6851633,-122.6606417
45.6850767,-122.6606567
45.6850367,-122.660675
45.6843967,-122.66081
45.6850517,-122.6606583
45.6843267,-122.6608183
45.685185,-122.6606267
45.684275,-122.6608533
45.684815,-122.6607317
45.684755,-122.6607617
45.6851333,-122.6606583
45.68423,-122.6608467
45.6843633,-122.660815
45.68521,-122.660635
45.6849733,-122.6607
45.6843417,-122.6608417
45.6843733,-122.6608217
45.685065,-122.6606567
45.6844167,-122.6608017
45.6845967,-122.6607967
45.6851883,-122.6606217
45.6848233,-122.6607283
45.685165,-122.6606367
45.68515,-122.6606117
45.6852183,-122.6606133
45.6849167,-122.660715
45.6850167,-122.6606933
45.685285,-122.6605933
45.684355,-122.66081
45.684925,-122.6606867
45.684825,-122.6607233
45.6848133,-122.6607633
45.6845633,-122.660805
45.6850017,-122.6606833
45.684255,-122.6608483
45.684685,-122.6607917
45.685115,-122.6606433
45.6850067,-122.6606817
45.68432,-122.6608283
45.6848433,-122.6607267
45.685305,-122.66059
45.68458,-122.6608067
45.6851083,-122.6606633
45.6846417,-122.6608
45.6848667,-122.6607483
45.6849817,-122.660685
45.6843617,-122.6608283
45.684815,-122.6607367
45.6851417,-122.660645
45.6842733,-122.6608417
45.6846883,-122.66077
45.685215,-122.6606067
45.6845717,-122.6608083
45.6842733,-122.660855
45.6850233,-122.66066
45.68421,-122.6608617
45.6849,-122.66073
45.684925,-122.660705
45.6842617,-122.6609033
45.6852417,-122.6606233
45.6849333,-122.6607017
45.6843217,-122.66085
45.6852183,-122.6606117
45.6849383,-122.6607117
45.685195,-122.6606033
45.684425,-122.660795
45.6851783,-122.66063
45.6849067,-122.6607117
45.6845483,-122.66081
45.6843583,-122.6608083
45.6851333,-122.66064
45.6842117,-122.6608567
45.68427,-122.660865
45.684255,-122.6608683
45.68495,-122.6607083
45.6854517,-122.66054
45.6849633,-122.6607117
45.684305,-122.66083
45.68487,-122.6607183
45.6847683,-122.66076
45.684855,-122.6607183
45.684325,-122.6608267
45.68485,-122.6607317
45.6844367,-122.6608133
45.6842483,-122.660865
45.685215,-122.6606233
45.6851033,-122.6606467
45.6848317,-122.6607317
45.6850083,-122.6606617
45.6851317,-122.6606467
45.6850283,-122.6606817
45.6845817,-122.6608067
45.6846,-122.660805
45.6853817,-122.6605617
45.684895,-122.660715
45.6846667,-122.6607767
45.6848783,-122.6607217
45.6850333,-122.6606617
45.6849667,-122.6607067
45.68431,-122.660855
45.6842133,-122.6608683
45.6850367,-122.66067
45.684255,-122.66086
45.6849167,-122.6607117
45.6852833,-122.6606117
45.6845117,-122.6607867
45.68515,-122.66063
45.6848933,-122.66071
45.6844433,-122.66081
45.6846933,-122.6607817
45.6846183,-122.6608133
45.6848817,-122.6607067
45.68501,-122.6606867
45.6847683,-122.6607517
45.6842967,-122.660865
45.68491,-122.6606917
45.68528,-122.6605917
45.6842383,-122.6608667
45.6851733,-122.6606233
45.6851283,-122.66065
45.685085,-122.66066
45.6851217,-122.6606467
45.6847233,-122.6607533
45.6848333,-122.6607317
45.6847517,-122.6607667
45.6852983,-122.6605767
45.6842817,-122.6608383
45.685145,-122.6606433
45.6846883,-122.6607633
45.68514,-122.660645
45.6848433,-122.6607333
45.6843567,-122.6608267
45.6851433,-122.660635
45.6844517,-122.6608417
45.6847783,-122.6607517
45.6850917,-122.6606583
45.6847067,-122.660765
45.6849,-122.6607167
45.6851183,-122.6606583
45.685245,-122.660615
45.6849367,-122.6606983
45.684945,-122.6607083
45.68553,-122.6605033
45.6848417,-122.6607333
45.685105,-122.66067
45.6847483,-122.660785
45.6847233,-122.66077
45.6844267,-122.6608133
45.6848383,-122.6607333
45.6848933,-122.6607
45.6848733,-122.6607267
45.6849733,-122.660705
45.684695,-122.6607867
45.6850133,-122.6606783
45.6851633,-122.66062
45.685305,-122.660595
45.6849133,-122.660725
45.6852083,-122.6606217
45.6847417,-122.6607667
45.68523,-122.66061
45.68444,-122.66081
45.68497,-122.6606933
45.6850417,-122.6606633
45.6853417,-122.66057
45.6848233,-122.66074
45.6848783,-122.66071
45.6851367,-122.6606383
45.6846517,-122.6607733
45.6847833,-122.6607367
45.685005,-122.6606783
45.6851217,-122.6606617
45.6849017,-122.6607083
45.6843,-122.6608567
45.6843783,-122.6608283
45.685115,-122.660665
45.6849233,-122.660705
45.6850833,-122.6606667
45.6850383,-122.66069
45.6847883,-122.6607467
45.6852417,-122.66061
45.6852867,-122.660595
45.684605,-122.6608067
45.6851517,-122.6606383
45.6847517,-122.6607467
45.684905,-122.6606983
45.6852517,-122.660585
45.6847417,-122.66077
45.6852283,-122.66061
45.6849283,-122.6607017
45.6842433,-122.6608767
45.68513,-122.6606467
45.6842933,-122.6608367
45.685165,-122.6606267
45.6842283,-122.6608517
45.6843317,-122.66083
45.6849417,-122.6607017
45.6846217,-122.6607717
45.684405,-122.6608117
45.6850767,-122.6606567
45.6852317,-122.6606117
45.6843067,-122.6608533
45.6842133,-122.6608533
45.6844883,-122.66084
45.6850517,-122.6606583
45.6850233,-122.6606617
45.684275,-122.6608517
45.6843367,-122.6608367
45.6849583,-122.660685
45.6844517,-122.6608433
45.6848917,-122.6607133
45.68433,-122.6608367
45.68467,-122.6607967
45.6850367,-122.6606617
45.6848717,-122.6607133
45.6842867,-122.660845
45.6847667,-122.6607367
45.6848433,-122.660725
45.6846533,-122.6607567
45.6844117,-122.6608283
45.6841983,-122.6608633
45.6849367,-122.6607283
45.6851483,-122.66064
45.6848717,-122.6607217
45.6848917,-122.6607183
45.6850933,-122.660665
45.6842133,-122.6608467
45.6846733,-122.6607717
45.6844883,-122.660855
45.6848017,-122.6607617
45.6848733,-122.6607267
45.6849367,-122.660695
45.68521,-122.6606083
45.684325,-122.6608433
45.68479,-122.660745
45.6846967,-122.66078
45.6852433,-122.6606117
45.6843833,-122.6608117
45.6850767,-122.66066
45.685075,-122.6606583
45.68509,-122.6606483
45.68491,-122.660725
45.684945,-122.6607
45.6845783,-122.6608033
45.6851917,-122.6606233
45.684485,-122.66086
45.6845133,-122.6608183
45.68508,-122.66066
45.6843,-122.6608433
45.6849317,-122.6606917
45.68496,-122.6606967
45.6843333,-122.66083
45.6842767,-122.660845
45.6849433,-122.6606783
45.6852083,-122.66061
45.6849517,-122.6606983
45.68424,-122.660885
45.6847667,-122.66073
45.6851633,-122.6606317
45.684425,-122.6608117
45.68523,-122.6606067
45.6849,-122.6607083
45.6852333,-122.6606117
45.68488,-122.6607767
45.6847083,-122.6608283
45.6842233,-122.6608533
45.6844433,-122.6608
45.6852783,-122.660605
45.6851283,-122.6606633
45.6849817,-122.6606733
45.684835,-122.6607367
45.6850783,-122.660645
45.6851767,-122.6606467
45.6843083,-122.6608317
45.6850033,-122.6606817
45.6851033,-122.6606417
45.6842383,-122.6608483
45.6847483,-122.6607817
45.684325,-122.66084
45.6849,-122.660705
45.6843583,-122.6608367
45.6849817,-122.6606967
45.6852767,-122.660595
45.6848867,-122.6607033
45.684215,-122.6608483
45.6852317,-122.6606083
45.685195,-122.6606217
45.6849283,-122.6607117
45.6851533,-122.6606317
45.6851767,-122.66061
45.684655,-122.6607833
45.6843867,-122.6608683
45.68504,-122.6606717
45.6850567,-122.6606617
45.6843983,-122.6608133
45.6848533,-122.6607483
45.6852617,-122.6605883
45.6847083,-122.6607633
45.68482,-122.6607417
45.6849967,-122.6606917
45.6845317,-122.6608017
45.6842883,-122.6608467
45.68503,-122.6606617
45.6848,-122.6607333
45.6843133,-122.6608333
45.6849283,-122.66071
45.6852167,-122.6605983
45.6843567,-122.6608167
45.6847867,-122.660775
45.6844233,-122.660835
45.6848883,-122.6607133
45.6844767,-122.6608217
45.6845783,-122.66079
45.6853033,-122.6605933
45.6843317,-122.6608417
45.6845333,-122.660815
45.68492,-122.660695
45.684405,-122.660825
45.6848933,-122.6607
45.6852383,-122.6605817
45.6843467,-122.6608317
45.6842967,-122.6608467
45.6846183,-122.6607917
45.68479,-122.6607667
45.6851883,-122.66062
45.6842333,-122.6608517
45.6848817,-122.6607383
45.6850533,-122.6606817
45.6845917,-122.6608033
45.6849533,-122.66069
45.6842467,-122.66084
45.6844183,-122.6608533
45.6848883,-122.6607083
45.6847817,-122.6607417
45.6841967,-122.6608633
45.68507,-122.6606517
45.684195,-122.6608733
45.6848233,-122.6607483
45.6848167,-122.660755
45.68489,-122.6607333
45.68424,-122.6608817
45.6844667,-122.660795
45.6849667,-122.6607
45.68495,-122.66069
45.6848183,-122.660755
45.684705,-122.6607683
45.685235,-122.6606167
45.6843883,-122.660855
45.6849583,-122.6607017
45.68505,-122.6606517
45.6842783,-122.6608383
45.68434,-122.6608367
45.6850517,-122.6607433
45.68442,-122.660815
45.6848733,-122.6607167
45.6848133,-122.6607367
45.6848983,-122.66075
45.684465,-122.66084
45.6852383,-122.6605933
45.68463,-122.660795
45.684935,-122.660715
45.6854883,-122.6605317
45.685195,-122.6606083
45.6849,-122.660715
45.6853,-122.6605833
45.6850783,-122.6606733
45.68436,-122.66082
45.6843917,-122.660805
45.6843567,-122.6608217
45.6848633,-122.6607167
45.68524,-122.6606117
45.685085,-122.6606567
45.6850017,-122.6606783
45.6850317,-122.660685
45.68507,-122.660655
45.6851167,-122.6606433
45.6846617,-122.6607683
45.6847167,-122.6607717
45.6852067,-122.6606083
45.6845967,-122.6608067
45.6843267,-122.66087
45.6851317,-122.6606317
45.68504,-122.6606667
45.684275,-122.66085
45.684475,-122.6608033
45.684255,-122.66084
45.6844033,-122.6608183
45.6846983,-122.660765
45.684245,-122.6608533
45.6843817,-122.6608383
45.6848633,-122.660715
45.684435,-122.660815
45.684355,-122.6608083
45.6849817,-122.66069
45.6852233,-122.6605967
45.6851567,-122.6606367
45.684775,-122.6607433
45.6849467,-122.6606883
45.6845483,-122.660805
45.6849417,-122.6606867
45.68486,-122.6607233
45.684705,-122.66077
45.6847083,-122.6607983
45.684275,-122.6608467
45.6851683,-122.660635
45.6849183,-122.6607133
45.684405,-122.66084
45.6851683,-122.6606183
45.68463,-122.6608233
45.6843833,-122.6608333
45.68428,-122.6608567
45.68448,-122.6608267
45.68511,-122.6606333
45.684955,-122.660685
45.6847017,-122.6607633
45.6849967,-122.6606883
45.6854117,-122.6605533
45.6843567,-122.6608267
45.6846367,-122.66078
45.6851433,-122.660635
45.6851367,-122.6606467
45.685195,-122.6606183
45.6842917,-122.6608383
45.6848533,-122.660705
45.68433,-122.6608267
45.6848017,-122.6607417
45.6848867,-122.6607183
45.684965,-122.6606883
45.6850833,-122.66067
45.68482,-122.660745
45.685115,-122.6606683
45.6849717,-122.66069
45.6848133,-122.6607383
45.6843467,-122.6608133
45.6843317,-122.66085
45.684935,-122.6607017
45.6842933,-122.6608633
45.6844367,-122.6607983
45.6844183,-122.660815
45.6851117,-122.6606383
45.684765,-122.66076
45.6846767,-122.660775
45.684985,-122.660685
45.6852183,-122.6606033
45.6850217,-122.6606867
45.68433,-122.6608483
45.6846383,-122.6607817
45.68422,-122.660865
45.6843767,-122.66083
45.6852333,-122.6606183
45.6842667,-122.6608483
45.6847933,-122.6607433
45.6849733,-122.660685
45.6851583,-122.6606317
45.6851733,-122.6606217
45.6850783,-122.6606617
45.6842183,-122.6608633
